epos,train_acc,test_acc,loss
73,0.6714000000000003,0.612,5696.96202759
74,0.6635999999999999,0.5960000000000001,5543.46049255
75,0.6766000000000001,0.682,4651.06522552
76,0.6850000000000002,0.6580000000000001,4143.65624939
77,0.6694000000000001,0.636,4325.54478149
78,0.6666000000000001,0.646,3862.86529419
79,0.6722,0.5619999999999999,3360.55437805
80,0.7030000000000003,0.6859999999999999,3196.32371185
81,0.6748000000000003,0.6080000000000001,2890.82188156
82,0.6300000000000002,0.6460000000000001,4012.40312836
83,0.6539999999999998,0.622,2710.94014412
84,0.6786000000000001,0.612,2368.4968457
85,0.6530000000000001,0.6720000000000002,2531.96374191
86,0.6805999999999999,0.5840000000000001,1965.1987085
87,0.6688,0.646,2230.4677545
88,0.6682000000000001,0.6639999999999999,1993.62935287
89,0.6657999999999997,0.5980000000000001,1646.12241578
90,0.676,0.668,1510.58492561
91,0.6788000000000004,0.664,1413.76029783
92,0.6692000000000001,0.6760000000000002,1304.58164801
93,0.6486000000000002,0.676,1472.05958797
94,0.6548,0.6260000000000001,1273.17701071
95,0.6764,0.594,989.047524452
96,0.6644,0.6119999999999999,887.224120808
97,0.6617999999999999,0.664,983.425667992
98,0.6594000000000001,0.59,943.037753639
99,0.6825999999999999,0.6719999999999999,654.091371498
100,0.6660000000000003,0.616,813.168939638
101,0.6791999999999999,0.6499999999999999,702.583815842
102,0.6617999999999996,0.67,708.06976326
103,0.6447999999999997,0.584,625.926540184
104,0.652,0.6540000000000001,609.024361076
105,0.6492000000000001,0.6940000000000001,531.77968689
106,0.6569999999999999,0.604,454.373550047
107,0.6510000000000001,0.614,470.155841255
108,0.6564,0.6360000000000001,433.374918422
109,0.6614,0.674,382.615154047
110,0.6431999999999997,0.68,411.489442101
111,0.6548,0.6300000000000001,357.851800375
112,0.6721999999999998,0.6399999999999999,275.566345897
113,0.6568,0.668,301.965979605
114,0.6629999999999999,0.6780000000000002,289.036834469
115,0.6731999999999999,0.5960000000000001,261.491088419
116,0.6536,0.716,253.502594357
117,0.6565999999999999,0.606,213.612512589
118,0.6809999999999999,0.6459999999999999,190.874792514
119,0.6329999999999997,0.6699999999999999,237.961128883
120,0.6516000000000003,0.676,169.728979053
121,0.6539999999999996,0.602,157.598078537
122,0.6575999999999996,0.6199999999999999,168.927179546
123,0.6218,0.6400000000000001,175.110050697
124,0.6596,0.6460000000000001,138.710439796
125,0.6601999999999997,0.654,131.909180336
126,0.6189999999999999,0.62,150.769532471
127,0.6340000000000001,0.6779999999999999,132.041330557
128,0.6699999999999997,0.6159999999999999,101.304661365
129,0.6602,0.6079999999999999,108.857241049
130,0.6441999999999996,0.6620000000000001,95.3501518828
131,0.6596000000000001,0.6,92.2554737949
132,0.6199999999999998,0.5940000000000001,103.583952389
133,0.6277999999999999,0.612,106.200411854
134,0.6744,0.6620000000000001,75.4589447594
135,0.6368,0.6939999999999998,108.413560228
136,0.6396,0.5720000000000001,79.2733948517
137,0.6338000000000001,0.6280000000000001,88.1079290104
138,0.6236,0.6220000000000001,79.8180095863
139,0.6212,0.646,73.5550922585
140,0.6065999999999999,0.51,90.2622779918
